sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
KTKBANK,₹ 4495.24 Cr.,,31.22 Cr.,4.7,0.61,₹ 10,2.78%,,,0%,,7.94%,9.44%,32.97,₹ 2491.04 Cr.,52.57,15.66,,,
RALLIS,₹ 4058.57 Cr.,₹ 4053.31 Cr.,19.45 Cr.,27.62,2.26,₹ 1,1.44%,₹ 63.2 Cr.,₹ 57.95 Cr.,50.09%,7.18%,9.99%,13.53%,,,,,,,
KIRLOSENG,₹ 4541.12 Cr.,₹ 4606.45 Cr.,14.47 Cr.,13.98,1.96,₹ 2,1.28%,₹ 31.44 Cr.,₹ 96.77 Cr.,59.42%,22.46%,10.10%,12.52%,,,,,,,
GMDCLTD,₹ 4626.9 Cr.,₹ 4560.74 Cr.,31.8 Cr.,4.94,0.86,₹ 2,2.95%,₹ 66.16 Cr.,₹ 0 Cr.,74%,104.01%,9.23%,16.85%,,,,,,,
SHARDACROP,₹ 4308.48 Cr.,₹ 4199.03 Cr.,9.02 Cr.,17.55,2.37,₹ 10,1.26%,₹ 147.49 Cr.,₹ 38.04 Cr.,74.82%,44.96%,17.49%,24.29%,,,,,,,
STARCEMENT,₹ 4591.49 Cr.,₹ 4431.4 Cr.,40.42 Cr.,26.93,3.29,₹ 1,0%,₹ 236.33 Cr.,₹ 76.23 Cr.,67.03%,30.89%,13.70%,13.18%,,,,,,,
ARVINDFASN,₹ 3895.11 Cr.,₹ 3984.56 Cr.,13.28 Cr.,413.49,1.68,₹ 4,0%,₹ 2.22 Cr.,₹ 91.67 Cr.,36.83%,72.31%,0.37%,0.99%,,,,,,,
SUPRAJIT,₹ 4970.37 Cr.,₹ 5153.26 Cr.,13.84 Cr.,26.63,4.63,₹ 1,0.56%,₹ 29.2 Cr.,₹ 212.1 Cr.,44.64%,14.30%,12.25%,15.57%,,,,,,,
PDSL,₹ 4498.2 Cr.,₹ 4445.2 Cr.,13.09 Cr.,42.6,22.43,₹ 2,0.28%,₹ 61.77 Cr.,₹ 8.77 Cr.,66.37%,151.15%,39.61%,38.15%,,,,,,,
VARROC,₹ 4074.81 Cr.,₹ 5194.48 Cr.,15.28 Cr.,0,7,₹ 1,0%,₹ 43.01 Cr.,₹ 1162.67 Cr.,75%,28.50%,1.35%,4.91%,,,,,,,
