sombol,Market Cap,Enterprise Value,No. of Shares,P/E,P/B,Face Value,Div. Yield,CASH,DEBT,Promoter Holding,Sales Growth,ROE,ROCE,CASA %,Net Interest Income,Cost To Income %,CAR %,Advances,Operating Revenue,Net Profit
EMMBI,₹ 157.8 Cr.,₹ 300.9 Cr.,1.77 Cr.,14.18,0.99,₹ 10,0.67%,₹ 0.99 Cr.,₹ 144.1 Cr.,58.38%,58.99%,13.19%,14.22%,,,,,,,
ANMOL,₹ 182.47 Cr.,₹ 242.41 Cr.,1.14 Cr.,10.49,2.45,₹ 10,0%,₹ 118.84 Cr.,₹ 178.78 Cr.,57.08%,53.25%,31.12%,16.75%,,,,,,,
JOCIL,₹ 159.99 Cr.,₹ 160.79 Cr.,0.89 Cr.,21.09,0.76,₹ 10,1.11%,₹ 3.55 Cr.,₹ 4.35 Cr.,55.02%,33.29%,3.57%,4.80%,,,,,,,
BYKE,₹ 170.62 Cr.,₹ 194.66 Cr.,4.01 Cr.,181.14,1.08,₹ 10,0%,₹ 5.1 Cr.,₹ 29.15 Cr.,46.86%,42.19%,-7.84%,-2.83%,,,,,,,
ALPHAGEO,₹ 159.88 Cr.,₹ 73.24 Cr.,0.64 Cr.,6.95,0.63,₹ 10,3.17%,₹ 86.64 Cr.,₹ 0 Cr.,46.09%,8.23%,5.56%,8.26%,,,,,,,
KBCGLOBAL,₹ 178.35 Cr.,₹ 267.32 Cr.,61.5 Cr.,20.45,1.26,₹ 1,1.71%,₹ 0.49 Cr.,₹ 89.46 Cr.,12.76%,-21.10%,13.19%,17.24%,,,,,,,
ZODIAC,₹ 152.55 Cr.,₹ 166.21 Cr.,1.46 Cr.,43.94,4.42,₹ 10,0%,₹ 3.4 Cr.,₹ 17.06 Cr.,72.86%,42.45%,18.10%,20.55%,,,,,,,
CEREBRAINT,₹ 114.23 Cr.,₹ 144.42 Cr.,11.2 Cr.,18.52,0.43,₹ 10,0%,₹ 2.27 Cr.,₹ 32.46 Cr.,2.79%,261.61%,11.01%,17.23%,,,,,,,
TEXMOPIPES,₹ 159.7 Cr.,₹ 175.25 Cr.,2.92 Cr.,25.38,1.28,₹ 10,0%,₹ 10.11 Cr.,₹ 25.67 Cr.,44.24%,33.86%,12.81%,20.29%,,,,,,,
GOLDSTAR,₹ 240.71 Cr.,₹ 258.26 Cr.,19.26 Cr.,340.6,8.31,₹ 1,0%,₹ 0.08 Cr.,₹ 17.64 Cr.,72.91%,2.03%,3.54%,6.50%,,,,,,,
RHFL,₹ 140.67 Cr.,,48.51 Cr.,0,0,₹ 10,0%,,,48.64%,-63.81,0%,-66.73%,,,,,₹ 3108.31 Cr.,₹ 290.69 Cr.,₹ -5439.6 Cr.
ARTNIRMAN,₹ 199.15 Cr.,₹ 194.22 Cr.,2.5 Cr.,0,5.91,₹ 10,0%,₹ 5.15 Cr.,₹ 0.23 Cr.,73.75%,-56.71%,-27.84%,-25.08%,,,,,,,
DJML,₹ 154.13 Cr.,₹ 158.45 Cr.,1.08 Cr.,49.26,6.01,₹ 10,0.07%,₹ 0.92 Cr.,₹ 5.23 Cr.,56.36%,91.98%,18.95%,25.15%,,,,,,,
GOLDTECH,₹ 188.65 Cr.,₹ 160.38 Cr.,3.46 Cr.,165.91,3.33,₹ 10,0%,₹ 31.99 Cr.,₹ 3.73 Cr.,53.89%,30.16%,2.26%,3.23%,,,,,,,
GAYAPROJ,₹ 124.49 Cr.,₹ 2680.51 Cr.,18.72 Cr.,0,0,₹ 2,0%,₹ 33.16 Cr.,₹ 2589.18 Cr.,3.94%,-20.46%,-172.10%,-20.10%,,,,,,,
GILLANDERS,₹ 143.42 Cr.,₹ 269.47 Cr.,2.13 Cr.,5.55,0.49,₹ 10,0%,₹ 3.82 Cr.,₹ 129.87 Cr.,69.08%,-5.80%,5.70%,8.18%,,,,,,,
OBCL,₹ 143.15 Cr.,₹ 140.44 Cr.,2.11 Cr.,13.09,1.58,₹ 10,0%,₹ 10.43 Cr.,₹ 7.72 Cr.,68.56%,-10.57%,10.03%,12.87%,,,,,,,
BEWLTD,₹ 157.68 Cr.,₹ 184.45 Cr.,0.26 Cr.,27.96,7.23,₹ 10,0%,₹ 0.16 Cr.,₹ 26.93 Cr.,60.56%,0,,,,,,,,,
WEIZMANIND,₹ 163.67 Cr.,₹ 179.55 Cr.,1.59 Cr.,22.51,2.97,₹ 10,0.48%,₹ 2.38 Cr.,₹ 18.27 Cr.,67.87%,2.28%,5.17%,6.89%,,,,,,,
AKSHOPTFBR,₹ 151.31 Cr.,₹ 240.97 Cr.,16.27 Cr.,9.98,0.51,₹ 5,0%,₹ 18.8 Cr.,₹ 108.46 Cr.,27.95%,22.21%,6.17%,10.80%,,,,,,,
UMAEXPORTS,₹ 154.17 Cr.,₹ 154.63 Cr.,3.38 Cr.,6.47,0.95,₹ 10,0%,₹ 32.45 Cr.,₹ 32.9 Cr.,72.54%,0,,,,,,,,,
WANBURY,₹ 131.8 Cr.,₹ 173.55 Cr.,3.27 Cr.,1.76,0,₹ 10,0%,₹ 25.27 Cr.,₹ 67.02 Cr.,39.84%,30.23%,0%,206.26%,,,,,,,
YAARI,₹ 138.61 Cr.,₹ 1185.67 Cr.,10.04 Cr.,0.34,2.54,₹ 2,0%,₹ 0.58 Cr.,₹ 1047.64 Cr.,27.46%,600%,-12.57%,-3.72%,,,,,,,
COMPUSOFT,₹ 141.63 Cr.,₹ 106.73 Cr.,7.91 Cr.,31.95,1.04,₹ 2,2.23%,₹ 40.91 Cr.,₹ 6.01 Cr.,71.19%,70.04%,9.81%,13.57%,,,,,,,
ASCOM,₹ 304.57 Cr.,,0.78 Cr.,62.5,8.8,₹ 10,0%,,,73.98%,16.36,15.17%,18.99%,,,,,₹ 0 Cr.,₹ 12.45 Cr.,₹ 4.87 Cr.
LOTUSEYE,₹ 144.95 Cr.,₹ 136.24 Cr.,2.08 Cr.,36.51,2.54,₹ 10,0.71%,₹ 8.85 Cr.,₹ 0.14 Cr.,58.14%,20.21%,5.56%,8%,,,,,,,
KAKATCEM,₹ 146.58 Cr.,₹ 148.19 Cr.,0.78 Cr.,0,0.64,₹ 10,1.60%,₹ 33.56 Cr.,₹ 35.17 Cr.,53.85%,25.73%,8.52%,11.46%,,,,,,,
SHIVATEX,₹ 154.26 Cr.,₹ 285.42 Cr.,1.3 Cr.,0,1.21,₹ 10,1.18%,₹ 9.85 Cr.,₹ 141.01 Cr.,74.04%,39.99%,15.04%,16.61%,,,,,,,
ASIANHOTNR,₹ 143.56 Cr.,₹ 1204.8 Cr.,1.95 Cr.,0,0,₹ 10,0%,₹ 6.53 Cr.,₹ 1067.77 Cr.,50.69%,79.83%,0%,-1.66%,,,,,,,
JMA,₹ 150.41 Cr.,₹ 133.96 Cr.,2.28 Cr.,6.21,0.86,₹ 2,3.04%,₹ 16.45 Cr.,₹ 0 Cr.,51%,11.79%,13.96%,18.65%,,,,,,,
RANEENGINE,₹ 140.53 Cr.,₹ 267.14 Cr.,0.67 Cr.,0,1.52,₹ 10,0%,₹ 0.97 Cr.,₹ 127.58 Cr.,55.12%,26.57%,-11.95%,-2.92%,,,,,,,
DCI,₹ 139.2 Cr.,₹ 148.08 Cr.,1.2 Cr.,34.77,5.08,₹ 10,0%,₹ 8.92 Cr.,₹ 17.8 Cr.,60%,37.66%,19.58%,18.45%,,,,,,,
SETCO,₹ 126.41 Cr.,₹ 195.54 Cr.,13.38 Cr.,0,1.52,₹ 2,0%,₹ 1 Cr.,₹ 70.13 Cr.,59.25%,-24.48%,-85.26%,-21.07%,,,,,,,
INTENTECH,₹ 148.33 Cr.,₹ 128.75 Cr.,2.25 Cr.,9.38,1.4,₹ 2,0.60%,₹ 20.52 Cr.,₹ 0.94 Cr.,18.08%,17.26%,17.34%,22.46%,,,,,,,
RVHL,₹ 132 Cr.,₹ 131.86 Cr.,6.13 Cr.,0,0.36,₹ 1,0%,₹ 0.19 Cr.,₹ 0.05 Cr.,74.81%,28.22%,-0.05%,-0.08%,,,,,,,
3RDROCK,₹ 145.5 Cr.,₹ 144.23 Cr.,2.25 Cr.,162.27,6.17,₹ 10,0%,₹ 1.35 Cr.,₹ 0.08 Cr.,23.17%,3840.17%,7.60%,11.70%,,,,,,,
ALANKIT,₹ 203.23 Cr.,,22.46 Cr.,0,1.1,₹ 1,2.19%,,,54.86%,0.55,10.42%,14.70%,,,,,₹ 0 Cr.,₹ 103.76 Cr.,₹ 10.06 Cr.
ASTRON,₹ 129.5 Cr.,₹ 186.42 Cr.,4.65 Cr.,0,0.8,₹ 10,0%,₹ 8.63 Cr.,₹ 65.55 Cr.,27.06%,17.84%,4.97%,9.61%,,,,,,,
DCM,₹ 145.22 Cr.,₹ 167.24 Cr.,1.87 Cr.,22.98,13.04,₹ 10,0%,₹ 1.25 Cr.,₹ 23.27 Cr.,48.54%,118.21%,428.77%,74.03%,,,,,,,
INDOWIND,₹ 167.1 Cr.,₹ 221.94 Cr.,12.56 Cr.,36.81,0.6,₹ 10,0%,₹ 1.21 Cr.,₹ 56.06 Cr.,44.76%,7.97%,0.05%,0.71%,,,,,,,
AKSHAR,₹ 181.99 Cr.,₹ 207.59 Cr.,2.5 Cr.,26.08,4.92,₹ 10,0%,₹ 0.05 Cr.,₹ 25.65 Cr.,43.75%,56.50%,17.55%,18.73%,,,,,,,
URAVI,₹ 169.4 Cr.,₹ 190.25 Cr.,1.1 Cr.,231.16,6.02,₹ 10,0%,₹ 1.82 Cr.,₹ 22.67 Cr.,72.73%,12.80%,3.32%,7.37%,,,,,,,
RPPINFRA,₹ 165.35 Cr.,₹ 228.15 Cr.,3.79 Cr.,19.83,0.49,₹ 10,0%,₹ 41.52 Cr.,₹ 104.32 Cr.,51.29%,63.18%,2.96%,8.76%,,,,,,,
BALLARPUR,₹ 109.94 Cr.,₹ 1756.3 Cr.,129.35 Cr.,0,0,₹ 2,0%,₹ 9.38 Cr.,₹ 1655.74 Cr.,2.68%,50.25%,-149.43%,-18.16%,,,,,,,
SITINET,₹ 122.09 Cr.,₹ 1023.02 Cr.,87.21 Cr.,0,0,₹ 1,0%,₹ 9.73 Cr.,₹ 910.67 Cr.,6.10%,-15.89%,0%,-38.22%,,,,,,,
IRIS,₹ 154.79 Cr.,₹ 155.87 Cr.,1.94 Cr.,52.76,4.56,₹ 10,0%,₹ 5.41 Cr.,₹ 6.49 Cr.,37.92%,4.11%,2.24%,6.38%,,,,,,,
SVLL,₹ 153.64 Cr.,₹ 187.79 Cr.,1.15 Cr.,47.31,4.81,₹ 10,0%,₹ 0.82 Cr.,₹ 34.97 Cr.,73%,28.02%,12.26%,11.54%,,,,,,,
AVROIND,₹ 111.42 Cr.,₹ 118.65 Cr.,1.01 Cr.,21.76,6.27,₹ 10,0%,₹ 0.45 Cr.,₹ 7.68 Cr.,70.37%,21.53%,22.89%,22.94%,,,,,,,
SOFTTECH,₹ 170.72 Cr.,₹ 201.18 Cr.,1.02 Cr.,27.9,1.84,₹ 10,0%,₹ 0.63 Cr.,₹ 31.09 Cr.,40.45%,38.20%,7.19%,9.60%,,,,,,,
VAISHALI,₹ 163.31 Cr.,₹ 182.71 Cr.,1.05 Cr.,25.63,5.02,₹ 10,0%,₹ 1.36 Cr.,₹ 20.76 Cr.,26.74%,41%,16.50%,18.87%,,,,,,,
BTML,₹ 235.36 Cr.,₹ 239.74 Cr.,1.25 Cr.,79.5,7.45,₹ 10,0%,₹ 0.96 Cr.,₹ 5.34 Cr.,35.42%,65.56%,39.16%,26.53%,,,,,,,
TEMBO,₹ 219.69 Cr.,₹ 260.03 Cr.,1.37 Cr.,28.61,3.33,₹ 10,0.75%,₹ 0.11 Cr.,₹ 40.45 Cr.,65.34%,66.89%,14.22%,13.86%,,,,,,,
NOIDATOLL,₹ 126.61 Cr.,₹ 178.7 Cr.,18.62 Cr.,0,0.51,₹ 10,0%,₹ 14.62 Cr.,₹ 66.71 Cr.,26.37%,24.79%,-14.19%,-11.55%,,,,,,,
JHS,₹ 111.3 Cr.,₹ 106.37 Cr.,6.49 Cr.,0,0.6,₹ 10,0%,₹ 5.48 Cr.,₹ 0.55 Cr.,42.23%,-17.59%,-1.28%,1.27%,,,,,,,
ARCHIDPLY,₹ 121.08 Cr.,₹ 170.12 Cr.,1.99 Cr.,9.68,1.19,₹ 10,0%,₹ 4.73 Cr.,₹ 53.78 Cr.,69.89%,32.68%,9.64%,11.10%,,,,,,,
INDBANK,₹ 108.5 Cr.,,4.44 Cr.,26.23,1.47,₹ 10,0%,,,64.84%,46.78,10.29%,14.90%,,,,,₹ 0 Cr.,₹ 17.63 Cr.,₹ 6.96 Cr.
BHAGYANGR,₹ 156.3 Cr.,₹ 255.78 Cr.,3.2 Cr.,34.67,1.19,₹ 2,0%,₹ 1.33 Cr.,₹ 100.82 Cr.,73.92%,115.72%,3.46%,5.96%,,,,,,,
BALPHARMA,₹ 120.81 Cr.,₹ 213.73 Cr.,1.57 Cr.,17.81,1.3,₹ 10,1.30%,₹ 5.09 Cr.,₹ 98.01 Cr.,51.61%,12.46%,10.47%,12.45%,,,,,,,
ARVEE,₹ 111.3 Cr.,₹ 109.8 Cr.,1.1 Cr.,22.74,3.97,₹ 10,0%,₹ 4.63 Cr.,₹ 3.13 Cr.,73.50%,-14.88%,11.36%,13.33%,,,,,,,
VINNY,₹ 278.24 Cr.,₹ 292.33 Cr.,1.01 Cr.,0,10.48,₹ 10,0%,₹ 0.06 Cr.,₹ 14.14 Cr.,71.87%,-20.61%,-15.80%,-9.32%,,,,,,,
NPST,₹ 183.49 Cr.,₹ 182.52 Cr.,0.65 Cr.,123.15,7.69,₹ 10,0%,₹ 0.97 Cr.,₹ 0 Cr.,67.55%,0,,,,,,,,,
PRITIKAUTO,₹ 148.08 Cr.,₹ 205.95 Cr.,8.87 Cr.,13.06,1.02,₹ 2,0%,₹ 1.74 Cr.,₹ 59.6 Cr.,48.14%,20.75%,6.83%,9.82%,,,,,,,
RELCHEMQ,₹ 107.72 Cr.,₹ 174.66 Cr.,0.75 Cr.,6.73,0.82,₹ 10,1.74%,₹ 57.8 Cr.,₹ 124.74 Cr.,67.68%,41.52%,16.06%,17.68%,,,,,,,
PROPEQUITY,₹ 156.18 Cr.,₹ 94.07 Cr.,1.05 Cr.,16.77,1.86,₹ 10,0%,₹ 62.12 Cr.,₹ 0 Cr.,70.20%,0,,,,,,,,,
STARTECK,₹ 129.68 Cr.,,0.99 Cr.,13.55,0.77,₹ 10,0.19%,,,71.52%,30.74,6.08%,6.16%,,,,,₹ 0 Cr.,₹ 15.89 Cr.,₹ 9.36 Cr.
SALONA,₹ 128.46 Cr.,₹ 266.78 Cr.,0.53 Cr.,6.49,2.02,₹ 10,0.50%,₹ 0.4 Cr.,₹ 138.73 Cr.,65.98%,181.18%,41.61%,21.97%,,,,,,,
MANAKALUCO,₹ 138.93 Cr.,₹ 249.32 Cr.,6.55 Cr.,19.31,1.14,₹ 1,0%,₹ 16.23 Cr.,₹ 126.62 Cr.,72.86%,58.88%,6.63%,9.48%,,,,,,,
PALASHSECU,₹ 109.53 Cr.,,1 Cr.,47.19,3.85,₹ 10,0%,,,71.85%,-72.4,7.52%,7.21%,,,,,₹ 0 Cr.,₹ 0.82 Cr.,₹ 1.86 Cr.
AVG,₹ 184.87 Cr.,₹ 295.14 Cr.,1.18 Cr.,30.8,2.19,₹ 10,0%,₹ 5.18 Cr.,₹ 115.45 Cr.,61.22%,29.60%,7.37%,12.30%,,,,,,,
UNITEDTEA,₹ 137.48 Cr.,₹ 126.64 Cr.,0.5 Cr.,14.02,0.74,₹ 10,1.34%,₹ 10.84 Cr.,₹ 0 Cr.,49.79%,14.08%,6.04%,7.62%,,,,,,,
SMARTLINK,₹ 139.3 Cr.,₹ 129.97 Cr.,1 Cr.,3.04,0.69,₹ 2,0%,₹ 11.14 Cr.,₹ 1.8 Cr.,69.89%,-39.11%,15.41%,15.56%,,,,,,,
LEMERITE,₹ 131.49 Cr.,₹ 223.14 Cr.,2.35 Cr.,6.24,1.41,₹ 10,1.79%,₹ 8.24 Cr.,₹ 99.88 Cr.,72.74%,0,,,,,,,,,
LEXUS,₹ 141.63 Cr.,₹ 198.67 Cr.,1.92 Cr.,10.58,4.5,₹ 10,0%,₹ 1.13 Cr.,₹ 58.18 Cr.,52.79%,36.94%,53.97%,20.21%,,,,,,,
NILASPACES,₹ 116.2 Cr.,₹ 115.48 Cr.,39.39 Cr.,0,0.92,₹ 1,0%,₹ 0.72 Cr.,₹ 0 Cr.,61.90%,-88.19%,1.02%,1.64%,,,,,,,
SHIGAN,₹ 154.93 Cr.,₹ 151.29 Cr.,1.72 Cr.,15.7,3.12,₹ 10,0%,₹ 25.88 Cr.,₹ 22.24 Cr.,73.63%,0,,,,,,,,,
REMSONSIND,₹ 125.29 Cr.,₹ 183.08 Cr.,0.57 Cr.,16.28,3.15,₹ 10,0.46%,₹ 0.85 Cr.,₹ 58.63 Cr.,75%,14.22%,10.75%,12.06%,,,,,,,
PODDARHOUS,₹ 91.86 Cr.,₹ 435.04 Cr.,0.63 Cr.,0,0.63,₹ 10,0%,₹ 9.72 Cr.,₹ 352.9 Cr.,61.02%,15.07%,-8.88%,6.70%,,,,,,,
GENCON,₹ 239.98 Cr.,₹ 287.33 Cr.,4.21 Cr.,16.07,1.18,₹ 5,0.09%,₹ 4.82 Cr.,₹ 52.17 Cr.,54.50%,99.16%,7.53%,10.62%,,,,,,,
NDGL,₹ 135.64 Cr.,,0.1 Cr.,15.85,0.67,₹ 10,0.18%,,,73.58%,-10.92,2.49%,2.85%,,,,,₹ 0 Cr.,₹ 6.54 Cr.,₹ 4.19 Cr.
LASA,₹ 146.8 Cr.,₹ 149.78 Cr.,5.01 Cr.,0,1.05,₹ 10,0.87%,₹ 17.19 Cr.,₹ 20.17 Cr.,43.78%,-32.24%,-3.49%,-3.54%,,,,,,,
NIRAJ,₹ 115.45 Cr.,₹ 91.72 Cr.,4.02 Cr.,35.25,0.65,₹ 10,0%,₹ 37.18 Cr.,₹ 13.46 Cr.,24.26%,103.94%,1.42%,1.71%,,,,,,,
INDIANCARD,₹ 125.21 Cr.,₹ -42.59 Cr.,0.59 Cr.,0.63,0.52,₹ 10,11.85%,₹ 186.75 Cr.,₹ 18.96 Cr.,67.33%,24.40%,113.61%,118.74%,,,,,,,
UMANGDAIRY,₹ 132.13 Cr.,₹ 183.87 Cr.,2.2 Cr.,0,2.99,₹ 5,0%,₹ 1.6 Cr.,₹ 53.35 Cr.,74.61%,-17.72%,-26.27%,-15.56%,,,,,,,
CORALFINAC,₹ 135.01 Cr.,,4.03 Cr.,8.11,0.92,₹ 2,0.90%,,,75%,37.6,12.91%,16.34%,,,,,₹ 0 Cr.,₹ 27.79 Cr.,₹ 17.37 Cr.
SRPL,₹ 121.56 Cr.,₹ 132.74 Cr.,2.14 Cr.,23.35,2.2,₹ 10,0%,₹ 31.33 Cr.,₹ 42.51 Cr.,39.65%,88.65%,12.49%,13.79%,,,,,,,
PANSARI,₹ 136.78 Cr.,₹ 172.93 Cr.,1.74 Cr.,74.5,1.13,₹ 10,0%,₹ 0.78 Cr.,₹ 36.93 Cr.,73.88%,38.53%,3.16%,3.45%,,,,,,,
HILTON,₹ 244.76 Cr.,₹ 303.78 Cr.,2.1 Cr.,36.06,2.82,₹ 10,0%,₹ 1.24 Cr.,₹ 60.27 Cr.,28.07%,77.08%,4.01%,1.64%,,,,,,,
AHLADA,₹ 117.71 Cr.,₹ 148.12 Cr.,1.29 Cr.,50.01,0.95,₹ 10,1.54%,₹ 0.65 Cr.,₹ 31.06 Cr.,50.50%,-4.36%,4.29%,7.35%,,,,,,,
ALPA,₹ 130.98 Cr.,₹ 134.58 Cr.,2.1 Cr.,28.41,0.97,₹ 10,0%,₹ 2.24 Cr.,₹ 5.85 Cr.,57.29%,15.08%,11.34%,15.54%,,,,,,,
ALKALI,₹ 119.54 Cr.,₹ 134.23 Cr.,1.02 Cr.,53.18,2.32,₹ 10,1.71%,₹ 2.57 Cr.,₹ 17.25 Cr.,69.59%,64.36%,6.98%,11.03%,,,,,,,
SUNDARAM,₹ 125.58 Cr.,₹ 165.26 Cr.,47.39 Cr.,22.59,1.27,₹ 1,0%,₹ 0.36 Cr.,₹ 40.05 Cr.,31.05%,39.07%,4.21%,6.98%,,,,,,,
CAPTRUST,₹ 128.44 Cr.,,1.64 Cr.,46.22,1.08,₹ 10,0%,,,66.95%,-5.89,-9.93%,5.31%,,,,,₹ 187.13 Cr.,₹ 102.62 Cr.,₹ -12.32 Cr.
PARIN,₹ 122.85 Cr.,₹ 149.88 Cr.,1.11 Cr.,42.57,2.72,₹ 10,0%,₹ 2.14 Cr.,₹ 29.17 Cr.,73.02%,-8.91%,6.63%,9.19%,,,,,,,
IVP,₹ 136.46 Cr.,₹ 292.16 Cr.,1.03 Cr.,5.1,1.24,₹ 10,1.14%,₹ 0.85 Cr.,₹ 156.55 Cr.,71.32%,92.14%,21.06%,14.92%,,,,,,,
BAHETI,₹ 108.61 Cr.,₹ 158.65 Cr.,1.04 Cr.,37.2,3.38,₹ 10,0%,₹ 0.38 Cr.,₹ 50.42 Cr.,-,0,,,,,,,,,
SUNDRMBRAK,₹ 118.65 Cr.,₹ 160 Cr.,0.39 Cr.,0,1.42,₹ 10,0%,₹ 0.29 Cr.,₹ 41.64 Cr.,65.54%,24.64%,0.09%,2.17%,,,,,,,
SALSTEEL,₹ 150.39 Cr.,₹ 272.91 Cr.,8.5 Cr.,17.47,3.62,₹ 10,0%,₹ 1.64 Cr.,₹ 124.15 Cr.,50.56%,67.92%,36.07%,9.83%,,,,,,,
SHAHALLOYS,₹ 113.64 Cr.,₹ 230.29 Cr.,1.98 Cr.,2.9,1.51,₹ 10,0%,₹ 0.24 Cr.,₹ 116.9 Cr.,53.75%,75.34%,1690.14%,84.44%,,,,,,,
AJRINFRA,₹ 84.76 Cr.,₹ 192.39 Cr.,94.18 Cr.,0,0.29,₹ 2,0%,₹ 0.7 Cr.,₹ 108.32 Cr.,20.60%,-100%,-96.86%,-79.22%,,,,,,,
BLBLIMITED,₹ 119.74 Cr.,,5.29 Cr.,23.8,1.31,₹ 1,0%,,,70.45%,-33.97,11.36%,14.34%,,,,,₹ 0 Cr.,₹ 354.73 Cr.,₹ 9.42 Cr.
SPECTRUM,₹ 405.21 Cr.,₹ 479.61 Cr.,1.51 Cr.,52.96,4.86,₹ 10,0.37%,₹ 2.21 Cr.,₹ 76.6 Cr.,71.45%,66.09%,9.54%,11.68%,,,,,,,
GTL,₹ 95.16 Cr.,₹ 4682.45 Cr.,15.73 Cr.,3.74,0,₹ 10,0%,₹ 11.03 Cr.,₹ 4598.32 Cr.,14.29%,-12.42%,0%,0%,,,,,,,
NECCLTD,₹ 117.71 Cr.,₹ 210.99 Cr.,5.02 Cr.,19.92,1.12,₹ 10,0%,₹ 7.66 Cr.,₹ 100.94 Cr.,52.67%,8.59%,4.40%,6.30%,,,,,,,
GANGESSECU,₹ 118.49 Cr.,,1 Cr.,12.54,0.21,₹ 10,0%,,,66.64%,60.18,2.06%,2.21%,,,,,₹ 0 Cr.,₹ 7.91 Cr.,₹ 6.9 Cr.
AIROLAM,₹ 110.11 Cr.,₹ 156.13 Cr.,1.5 Cr.,16.15,1.79,₹ 10,0%,₹ 4.55 Cr.,₹ 50.57 Cr.,52.48%,26.89%,12.80%,12.79%,,,,,,,
ATLANTA,₹ 105.54 Cr.,₹ 64.76 Cr.,8.15 Cr.,0,0.43,₹ 2,0%,₹ 54.22 Cr.,₹ 13.44 Cr.,68.45%,1101.57%,-56.03%,-39.98%,,,,,,,
CCHHL,₹ 117.69 Cr.,₹ 397.79 Cr.,16.35 Cr.,57.1,0.23,₹ 2,0%,₹ 1.82 Cr.,₹ 281.92 Cr.,73.80%,21.32%,-1.20%,1.62%,,,,,,,
SPMLINFRA,₹ 115.15 Cr.,₹ 1815.98 Cr.,4.54 Cr.,0,0.34,₹ 2,0%,₹ 41.38 Cr.,₹ 1742.21 Cr.,36.10%,38.63%,3.50%,1.98%,,,,,,,
NGIL,₹ 68.87 Cr.,₹ 91.09 Cr.,1.11 Cr.,76.86,4.12,₹ 10,0.24%,₹ 0.62 Cr.,₹ 22.84 Cr.,67.85%,93.35%,11.37%,9.96%,,,,,,,
SECURCRED,0,0,4.11 Cr.,0,,0,0.93%,0,0,,,,,,,,,,,
KAPSTON,₹ 142.98 Cr.,₹ 216.31 Cr.,1.01 Cr.,29.57,2.48,₹ 10,0%,₹ 6.37 Cr.,₹ 79.7 Cr.,72.87%,27.79%,4.74%,6.60%,,,,,,,
MUKTAARTS,₹ 117.44 Cr.,₹ 162.97 Cr.,2.26 Cr.,5.37,0.67,₹ 5,0%,₹ 7.85 Cr.,₹ 53.38 Cr.,70.67%,159.47%,12.97%,14.32%,,,,,,,
AKG,₹ 85.96 Cr.,₹ 97.01 Cr.,3.18 Cr.,75.73,1.8,₹ 10,0%,₹ 1.13 Cr.,₹ 12.18 Cr.,61.14%,59.54%,5.97%,8.72%,,,,,,,
GOLDENTOBC,₹ 107.77 Cr.,₹ 106.51 Cr.,1.76 Cr.,39.84,0,₹ 10,0%,₹ 3.25 Cr.,₹ 2 Cr.,30.04%,78.41%,0%,0%,,,,,,,
OMAXAUTO,₹ 112.5 Cr.,₹ 211.18 Cr.,2.14 Cr.,9.95,0.41,₹ 10,0%,₹ 38.48 Cr.,₹ 137.16 Cr.,55.56%,37.60%,7.86%,10.74%,,,,,,,
MANAKCOAT,₹ 116.98 Cr.,₹ 266.43 Cr.,6.55 Cr.,20.57,1.05,₹ 1,0%,₹ 23.37 Cr.,₹ 172.82 Cr.,67.43%,45.30%,8.48%,13.22%,,,,,,,
DAMODARIND,₹ 111.14 Cr.,₹ 424.17 Cr.,2.33 Cr.,17.58,0.97,₹ 5,1.04%,₹ 1.78 Cr.,₹ 314.81 Cr.,70.63%,60.07%,17.29%,13.54%,,,,,,,
MAHASTEEL,₹ 102.72 Cr.,₹ 132.96 Cr.,1.64 Cr.,22.84,0.81,₹ 10,0%,₹ 15.04 Cr.,₹ 45.29 Cr.,73.41%,97.41%,2.72%,5.56%,,,,,,,
MRO-TEK,₹ 111.36 Cr.,₹ 182.3 Cr.,1.87 Cr.,0,1.67,₹ 5,0%,₹ 0.65 Cr.,₹ 71.6 Cr.,55.04%,287.71%,259.99%,89.73%,,,,,,,
GAL,₹ 83.09 Cr.,₹ 161.86 Cr.,33.24 Cr.,0,4.06,₹ 1,0%,₹ 0.33 Cr.,₹ 79.09 Cr.,38.19%,59.26%,0%,2.01%,,,,,,,
SIMBHALS,₹ 91.23 Cr.,₹ 1061.47 Cr.,4.13 Cr.,0,0,₹ 10,0%,₹ 47.67 Cr.,₹ 1017.91 Cr.,53.33%,-10.14%,0%,1.95%,,,,,,,
AMDIND,₹ 101.58 Cr.,₹ 175.39 Cr.,1.92 Cr.,6.2,0.68,₹ 10,1.41%,₹ 12.54 Cr.,₹ 86.35 Cr.,66.64%,76.74%,6.03%,9.08%,,,,,,,
VMARCIND,₹ 115.18 Cr.,₹ 172.14 Cr.,2.28 Cr.,23.07,1.66,₹ 10,0%,₹ 0.16 Cr.,₹ 57.12 Cr.,69.96%,3.36%,8.97%,12.58%,,,,,,,
FSC,₹ 90.84 Cr.,₹ 605.43 Cr.,4.39 Cr.,0,0,₹ 10,0%,₹ 2.8 Cr.,₹ 517.39 Cr.,21.95%,-59.11%,-28.57%,-7.26%,,,,,,,
PIONEEREMB,₹ 95.86 Cr.,₹ 120.76 Cr.,2.66 Cr.,11.06,0.72,₹ 10,0.82%,₹ 1.33 Cr.,₹ 26.23 Cr.,32.86%,29.30%,9.23%,12.46%,,,,,,,
